timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning,time_sec
291356000,291356000,4196000,47.39797105772898,8.546163739800146,25.762379,0.085189514,-6.4557967,0.0,0.0,0.0,3.9522989,4.5539174,-3.0351088,0.0,0.0,0.0,0.0,-1.640084,-1.7689059,-0.4386595,0.03431882,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5
291376000,291376000,4196000,47.39797105772898,8.546163739800146,25.840696,0.17550491,-6.516649,0.0,0.0,0.0,3.9158833,4.51577,-3.0425942,0.0,0.0,0.0,0.0,-1.820775,-1.9073927,-0.37428102,0.02755848,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.52
291396000,291396000,4196000,47.39797105772898,8.546163739800146,25.918247,0.26501024,-6.577628,0.0,0.0,0.0,3.87753,4.475267,-3.048969,0.0,0.0,0.0,0.0,-1.9176553,-2.0251474,-0.31874087,0.020839049,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.54
291416000,291416000,4196000,47.39797105772898,8.546163739800146,25.994967,0.35365257,-6.6387095,0.0,0.0,0.0,3.8359706,4.4321156,-3.0540686,0.0,0.0,0.0,0.0,-2.0779824,-2.1575549,-0.25497696,0.014216424,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.56
291436000,291436000,4196000,47.39797105772898,8.546163739800146,26.070822,0.4413896,-6.699872,0.0,0.0,0.0,3.7927732,4.3868513,-3.0581162,0.0,0.0,0.0,0.0,-2.1598656,-2.2632258,-0.20237635,0.0077294684,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.58
291456000,291456000,4196000,47.39797105772898,8.546163739800146,26.145758,0.5281735,-6.7610903,0.0,0.0,0.0,3.746787,4.339196,-3.0609145,0.0,0.0,0.0,0.0,-2.2993016,-2.3827543,-0.13991953,0.0014274371,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6
291476000,291476000,4196000,47.39797105772898,8.546163739800146,26.219748,0.6139666,-6.8223453,0.0,0.0,0.0,3.6995506,4.289653,-3.0627627,0.0,0.0,0.0,0.0,-2.3618264,-2.477162,-0.09240487,-0.0046607126,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.62
291496000,291496000,4196000,47.39797105772898,8.546163739800146,26.292742,0.69873035,-6.8836145,0.0,0.0,0.0,3.64966,4.238189,-3.0634615,0.0,0.0,0.0,0.0,-2.4945254,-2.5731802,-0.03494128,-0.010489521,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.64
291516000,291516000,4196000,47.39797105772898,8.546163739800146,26.364721,0.7824342,-6.9448833,0.0,0.0,0.0,3.5989985,4.185195,-3.063438,0.0,0.0,0.0,0.0,-2.5330832,-2.6497133,0.0011807786,-0.016041389,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.66
291536000,291536000,4196000,47.39797105772898,8.546163739800146,26.435648,0.8650522,-7.006134,0.0,0.0,0.0,3.5463433,4.1308985,-3.0625408,0.0,0.0,0.0,0.0,-2.6327565,-2.7148325,0.044861034,-0.021283016,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.68
